Sentence,Label
 well my daughter is 20 now...thats why I said `I miss those days`...they go by sooo fast,Negative
 **** i always miss it,Negative
 Merlin wasn`t too bad. Already watched it on BT of course,Neutral
Doctors appt,Neutral
Had a good day till he twisted his ankle on his two mile run,Neutral
 haha. that`s awesome. good job,Positive
" I don;t know how they interact. I`m getting better with the pain, though. I want to give my poor liver a break.",Neutral
I am new here,Neutral
 are you having any problems sending images from Twitterberry  mine just doesn`t want to work ! ****,Negative
Nothing to do. Just sitting here. I can see Mrs. P and her husband,Neutral
" Great service, but I find the time lag from time of posting to appearance on Twitter to be a small downer",Neutral
Thanks    _Twit01,Positive
" Awwwww, i`m sorry",Negative
 I ALWAYS miss out! I wont be able to commence in the foolishness til` the fall  But come fall I`ll be visiting!! YAY!!,Negative
" I hate doing em, but get dragged here by ... at least it`s a beautiful day",Neutral
Nothing like home-made paranthas for breakfast,Positive
" no problem dude - get better soon, I have a cold as well  bleh!",Neutral
New baby doing well.  I will be attempting to do some more 'painting' this weekend.,Positive
"lady is clean now, im going to calexico in a moment, i have so much things to do today, and i wanna go and watch the hanna montana movie",Neutral
  I wish I had Left 4 Dead. But first I`d need something to play it on...,Neutral
Got told I got a good chance at gettin the job  I am so so excited .omgggg. When I come back I want too...,Positive
 the idiom?? doesn`t ring a bell eh? hahaha. y`are really thinking of food?! nope. actually in the bathroom. teehee,Neutral
" talk to their creators yesterday no date for public release, just developers",Neutral
HAPPY MOTHERS DAY TO ALL THE MOMMIES,Positive
"morning all   will be at Warner soon! lots to do, then go to school for some work... hope everyone has a great day!!!",Positive
http://bit.ly/NYhMZ  Dionusia made me do it,Neutral
14 days until Boyzone,Neutral
"i`m thinking that tonight`s plans are not gonna happen. sigh...sadface. i shouldn`t be surprised, but i am.",Negative
Hey #socialmediatv ugh no way to do video>blah {pouts}   (Social Media TV live > http://ustre.am/2NjV),Negative
last day of classes!!,Neutral
Ugh! I just realized that I have to completely redo my tweetdeck groups! Pains of computer being wiped clean!,Negative
is going to Rye House Speedway,Neutral
 Ooohhh  well you could always borrow and burn buddy. Lol,Positive
Drinks && din w/ Amy and Lori,Neutral
havent been on in awhile.  no point anyways,Negative
 answer my really cool questions,Positive
Locked out of my **** house!,Neutral
 Just the mother of all bad days,Negative
" OK David, talk later  Have a great dayyyy ay ay ay ay",Positive
"http://twitpic.com/675t7 - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",Negative
never thought my daughter would want to borrow my clothes... even less that she would suggest that i borrow hers... luckily it didnt fit,Neutral
 Oh yum - rhubarb. These links are fab. Thanks,Positive
 i wish there was an 'i like' option (like fb) for things like this,Positive
 Ah.  I just found it weird because it`s my screen name  Name of war and all that jazz,Negative
surgery effin hurts,Negative
"_Confidential I tried to use Spinelli to turn him on to GH, but it didn`t really work",Negative
"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",Negative
 lol thanks!there scary to wear though,Neutral
 resistance was futile! Needed pretties to knit with,Negative
"Am in the place called 0UT OF NOW WHERE!! Take me out from here, somebody  http://myloc.me/1XRI",Negative
_nl they`re bees that will be trapped into my honeypot,Negative
Must be time of month: Watering eyes AGAIN!: http://tinyurl.com/cuwj2b (speciaal voor : zo vind ik ze wÃÂ¯ÃÂ¿ÃÂ½l leuk!  ),Neutral
" Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",Positive
"I can only message those who message me, if we`re fwends...so those that want replies..follow me.  hmm..that sounds funny..",Positive
"Oh noes, Not Your Average Joes in Lexington is closing!  Sad",Negative
 lol you always make me happy.  i promise i won`t. lol its only 1 silly. you are up late too my friend,Neutral
 have a lok at EF too! they are jummy,Positive
grumble..weather man.. don`t know wtf they are talkin about.,Negative
 STEPHEN KING FO SHO,Neutral
Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood,Negative
This world makes me sad,Negative
 - 05/31 marks the end of our roommate era. And you never made me empanadas again.,Neutral
 So sad. Your mom must be very shaken up. Peace and strength to her and the dear family that lost their little girl,Negative
"throat is reallyyyyy sore , i can barely talk",Negative
 i wish i could but it would cost too much to call you all the way from the UK,Negative
"Back from the gym, just checkin` email. Gonna go watch an old movie or something. It`s a little cool out to sit outside and read!",Neutral
" Well, guess we just make a pretty great pair.  So, I don`t think our birthday date is going to happen. :`(",Negative
 Great !!! Your book looks fantastic ? I want it,Positive
",.. oh the Mint Lounge ...AWESOME night",Positive
" Awww, that sucks. Maybe it`s on Youtube somewhere?",Negative
 sorry mo. we thought that u have to work tomorrow  we go to the casino together too :?),Negative
"Bought some little plastic personal wine bottles at Jewel, perfect for rooftop boozin`! Wish I didn`t have to wait so long!",Neutral
I wanna be out in the sunshineeeeeee,Neutral
@_cassian is there a game   !,Neutral
watching merlin omg he is cute,Positive
had a very good day and is now going to get into bed!,Positive
"It`s not the internal fuse either  Poop. Might have to get the spare out of the loft, although that might be a job for 2 people...",Neutral
Organic chemistry  ah so confusing!,Negative
 last reply  a scholar in US Homeland Security said an ontology was created for it 'and everybody hated it[s prescription].',Negative
"stealth shopping - got wife b-day present while at mall together and she didn`t notice - buy, hide it in car, back before she missed me",Neutral
This sars has really got me down.,Negative
 and welcome to dk  #jaoo,Positive
"Days with cellstorms, I like it!",Positive
 i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!,Positive
Had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*,Positive
"Hmmm go to sleep because i have to be up at 6 on a saturday  for work, or watch 2 more episodes of one tree hill? one tree hill i think!",Neutral
" Awww man that does suck big time  But look at it this way, it gives you something to look forward too, a nice long ride",Positive
  I guess you are not interested !!,Negative
 never noticed that before but you`re right! guess that`s because my heart is always dreaming of travel...,Neutral
" Well, all I can do, is pray for you.....",Positive
 I couldnt come to see you in Southend on the 2nd as I couldnt get the tickets :[ Ill have to come see you when you solo tour,Neutral
Art History Quiz...  I didn`t study,Neutral
Getting a little mowing the grass in this evening!  fun,Positive
FACT 1: iHate DirecTV OnDemand w/a passion that burns w/the white hot intensity of 1000 suns. FACT 2: iMiss Comcast. Like a lot,Negative
Wow I really need to have fun tonight now,Positive
"Got stuck in a traffic jam today, i now have one sunburned arm",Negative
i got no followers i only have like 2  someone follow Me please?,Neutral
" hey, have a great gig! We`ll have to do exchange of tracks via ze emayal  I`m all lost in loops right now and still writing ****",Positive
 Poor you. I`m off on Bank Holiday Monday today too,Negative
" oh my god, i finally found someone online! haha",Positive
so i have like no more friends it`s kinda sad,Negative
 morning to u,Neutral
 you`re so gorgeous!!,Positive
_Blue - the chauffeur from 'Some Kind of Wonderful' was my idea of a perfect woman,Positive
" eesh, sorry to hear that. That isn`t going to make travel to Michigan very fun.",Negative
" I think i have same disorder, stay up al night 4 no reason n sleep al day !!  SUUUKS",Negative
"might be seeing my god mothers little boy in a bit  . Leon, so cute <3333",Positive
" ?. Pick up that, as fast you can!",Neutral
i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,Negative
everyone vote for  for the mtv movie awards coz my comp is mashed up and wont let me vote!  i will somehow!!!!!!,Negative
Where art thou ? I miss you!,Negative
 lol I really wanna go there!! Imma check the vid out rite now,Neutral
Burnt from the lake,Neutral
 I didn`t know you had a blog!!!  That`s so awesome,Positive
 dont worry im not!!! i dont get it on my tv,Positive
" iam eating pizza, want some??? haha..",Neutral
wake up...and go make breakfast..,Neutral
Last day for seniors bye bff,Negative
 hello nikki! i just ended my exams 2 hours ago!  how abt u?,Neutral
"yeah, I was wasting my time  fail",Negative
"I just put my TV on the Canucks game and they score  yaay come on VanCity baby (I know, I can`t believe I`m watching hockey either)",Positive
_bree say hi to the otters! They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,Neutral
" trying to do the same thing, running an online business as well as running a regular business in the 'real' world",Neutral
Bummer. MacBook is bugging out  Any Mac heads want to lend a helping hand.,Negative
"got so totally lost that I had to pay for a taxi to get me back to where I was supposed to be. Yeah, something like that, lol.",Negative
"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",Neutral
Listening to Lady Gaga... Relatives just left after our Mother`s Day celebration,Neutral
Is anyone else having problems following and unfollowing peeps? For me this has gone on for over a week!,Negative
Going to  for lunch today with . Who`s in? I still need to hit the ATM.,Neutral
happpy mothers day,Positive
"I really, really want a golden retriever. Too bad I won`t be living in a home where she could run around for about 10 years",Neutral
 yeahh! Ryland was amazing xD BUT I DIDN`T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he`d just woken up,Positive
she made my sister cry too hahah. bless her.  i hope she can do it again.,Positive
Thank you for the follow !  Looking forward to your tweets...,Positive
Walking to class. I hate not having a bike....especially mine.,Negative
  not for too long I hope x,Neutral
" ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",Negative
Just enjoyed 2 steak quesadillas! Kinda mad cause I`m gonna miss the laker game!,Neutral
 you guys ROCKED IT tonight in LA!! Love ya guys and cab wait to see another awesome show soon,Positive
 I`m glad you`ve been having fun babe,Positive
Greenville Drive games just aren`t the same without the 'Baseball Guy' clown.,Negative
 very familiar.....sorry you`re feeling that way,Negative
" Ooh, I love sweet potato fries! We should definitely go.",Positive
who said i can`t wear my converse with my dress?,Neutral
 Link doesn`t work,Neutral
wish i was home in time for the #jonaswebcast today,Positive
 Meeeee! It sounds delicious,Positive
" Yeah, mine said 'That`s a nice picture' & gave me the red x!  Hope you get it working soon!",Positive
[Somewhere - Within Temptation] returned to mysefl. Keep working hard till June,Negative
 Lol...  Its NOT the same!!!,Positive
bath time,Neutral
 haha **** hell i know ay. **** son he`s just making trouble. we could take him.,Negative
oww...just bit my tongue,Neutral
hut myself in the face with a hammer earlier by accident  obviously it hurts.,Negative
" pfft, cydia apps ftw, code on the phone, make, reload springboard",Neutral
On the set of Chuck Bass` New York Palace Hotel. Too bad they weren`t filming today.   http://twitpic.com/67nht,Negative
is having a cuppa and chilling... i lovebank holiday mondays,Positive
I just signed up for Japanese 123 at Clark College... it will be a night class with Kamei-sensei... only two days a week  KUSO!,Neutral
Have $#@&!!! Malware on my work PC!  I miss having an IT dept,Negative
Well. . . the beginning of a new week and guess where I am. . . at the office  4more days till Friday. . .,Neutral
"...living in my studio, sounds very important ;) oh Mildura is totally boring!! Mhhh...whatever!  byeeee",Negative
"Back then I didn`t know why you were misunderstood. So now I see thru ur eyes, all that u did was love. Mama, I love you",Neutral
 he totally got you! ;) i think it`s awesome.,Positive
says I miss plurking.  http://plurk.com/p/wxion,Negative
 Hey chick!  When are we going to JA to pick up some hot guys and eat Jerk pork and festival? Well you already have a hot guy,Neutral
 I never was good at platform games...,Negative
"Sorry for the triple twitter post, was having trouble w/Stocktwits account.  I try not to clutter up the Twittersphere!",Negative
`before you wake` - we sink ships photography exhibition is ONLINE http://tinyurl.com/dfs7fy please have a look,Neutral
"I miss my Nipissing pitas  Good thing we`ve got a Euphoria in Barrie, `cause I would never survive summer without my pitas AND smoothies!!",Positive
 you givein lady ga ga arun for her money in that get up hee hee love it,Positive
"I need a nap, but I won`t be getting one",Negative
That`s the Birthday Boy`s iPod Touch and DSi set-up and sorted. Just to think I would have been happy with a ball + boots at that age!,Positive
"oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him",Neutral
"blogging, cleaning and chatting while listening to phoenixfm",Neutral
just ran some ACCELA unit tests for the first time in about 2 years... and they failed,Negative
" - Bingley, just for that practise-the-proposal scene toward the end. So endearing",Positive
has the day open until 4. don`t know what to do. everyone is leaving today,Neutral
"3 hours sleep last night, all of my being wants to crawl into a ball somewhere and sleep for about 5 more hours. At work till six too",Negative
_ They were some nice Pics you have kept  there.. you seem to carry your Cam around along with you..,Positive
 there`s nothing wrong with having a quiet day... it gives you more time to listen,Positive
 Nice...I`d like to be there...but it`s too far...  I`m from Brazil... kisses and have a nice day!!!,Positive
" I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",Negative
I want my real keys back,Neutral
had my first day at work and im not excited about the lay out of the place and where everything is.. o well its a job,Negative
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Positive
: Lol it went okay! As far as I can tell . But then I had to do a test today for geo and I was all zoned out and got like 65%,Positive
 Oh wow  Thanks for the info.,Positive
just got home. went to totoro cafe (finally) for the first time ever. i liked it! what a colorful place. such a happy atmosphere,Positive
 good tip..... but then my boss would read .... exactly what im supposed to do and would know where I was with the project,Positive
_stack8 mady were did u go?  truck did u run away?,Neutral
" Thanks al...i had a freakin ball!! great company, awesome venues....what more could a girl want?  love ya!!",Positive
" most definately! They are having a hard time, cuz I`m so young & never saw this, but I wrkd hard making cars & now I`m disabled",Negative
 aw i`m sorry  i was rooting for you just to let you know!,Positive
"The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window.....",Negative
Happy mothrs day 2 ; all thaa moms outt thr  *,Positive
  I`m so sorry.  I don`t understand why some people expect everyone to react to these things with the same 'poise' as themselves,Negative
is finally starting her assignments,Neutral
Hate I am going to miss the tweet up this weekend,Negative
Mothers day isnt until the 31th here in sweden.But thnx for the pm`s,Positive
All my loved ones are leaving on Sunday..... sad,Negative
" all work, no play.",Neutral
My head hurts so bad I could scream!,Negative
" i saw you on tues and last niiiighht <3 so amazzzing, didnt even notice you forgetting the wordddss",Positive
http://twitpic.com/67wb4 - Gotta a show on Monday at 9.... hopefully my head will be better by then....,Positive
just said goodbye to the younger bro.  #misshimalready,Negative
I had fun this summer,Positive
just getting off of work for the day! Hope everyone has a wonderful mother`s day tomorrow! Hope you enjoy ur cheesecakes too!,Positive
 Just read up on your Mom   Hope she`s okay!!,Positive
aww bless her  give her a chance ..,Positive
I`m SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i`m alone on maui,Negative
" Hehe. I have the ZSG. Should probably go over it again. Also, Mike has moved up to Orillia, so his arsenal isn`t so available.",Neutral
"I`m in tantra, anyone from kirki will know how sad this is, I`m drowning my sorrows ;)",Neutral
watching M eat a hotdog...gross.. he`s so drunk and annoying.. trying really hard not to glre @ him,Negative
Good morning my sexy twitter how`s yall doing??? I`m gd but it`s like 7:49am n I still wanna sleep,Neutral
wishing I got fij,Positive
. ... and now I wish I hadn`t,Negative
 blah blah blah.... just kidding dude  i`ve never had anyone offer up their stem cells before haha!,Positive
  Those dog pic had me  ROLF!  The one  with the snow stuck too it  has that 'if looks could kill look' way funny,Positive
 soooo jelous of you right now,Negative
 Hi Its not about howmany people follow you its about how much you help others,Neutral
 Have a good day,Positive
 thanks  this one will be a hit.  has been a patron since 2001,Positive
Listening to my favourite song... ALLAH KE BANDE HASDE,Positive
 what are u talking about??? since when dnt u trust me? this hurts... Im a good secret keeper,Neutral
Just got home from the BEA & it was kinda boring (2 me) this year  but hung out with some GREAT authors & co-workers!,Neutral
likes cheerios and scones in the morning,Positive
 dont cry for me! i will see u tomorrow.  muah.,Positive
Why don`t we close the library due to the great weather?  And the ac isn`t working  #fb,Positive
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,Negative
Another great song to sing along with....    ? http://blip.fm/~5jhtq,Positive
_pollard I have no denial for this because it is the **** truth,Positive
"Upshot: If they want to hunt you down... uhh... well, I wish y`all the best of luck, tweeps!",Neutral
" i had had a baked dinner yummy  cant wait for new short stack tv, what kind of dips shall it be?",Neutral
"One load of washing put away, and another load on. Amazing how the house doesn`t look any better for all my efforts",Negative
"_control aw babyy i`m sorry  i gots too excited, haha. <333",Neutral
HAPPY MOTHERS DAY TO ALL THE MOTHERS OUT THERE!!!!!!!,Positive
God! They look stumpy... I`m not sharing my toes tonight,Negative
  follow?,Neutral
 No star replies to me,Neutral
" how tough was that, just wanted to hug her like my own",Negative
 heyyy! how are you todayy?!,Neutral
In Seattle Washington....im SOOOOO hungry&i miss alaska,Negative
 When does it close? I didn`t think it`d been running that long? I still haven`t had chance to see it!,Neutral
Lula is not feeling well.  http://tinyurl.com/m8kcsq,Negative
tonight was hilariouss  i loveeee everyone that was theree,Positive
i don`t like being sick when the guidance counsellor is supposed to take me + 35 other kids out of school for bowling & pizza,Negative
 OK! Oops sorry,Negative
My stomach is killing me do I can`t sleep,Negative
 You`re very welcome,Positive
 sorry I didn`t message you yet... I couldn`t get my thoughts straight. But tomorrow I`ll try  goodnight,Neutral
{cont} that right their is why fake btches shouldnt mess with Real ones... ahhh I love it Real btches excite me,Positive
home.Going to be a warm day on top of it. Is it Friday yet?,Neutral
 You`ve made me look at old pictures of my cats.  I want them to be kitties again,Neutral
"Facebook won`t load for me.  **** it, I`m bored.",Negative
A very exciting week,Positive
i think june gloom has arrived,Negative
"yay, joss is coming over on saturday",Positive
 ngobrolin favorite bands at the moment cii... kesian ya kamu speakernya rusak HAHAHA  benerin dong ci.,Positive
http://twitpic.com/67k9w - - My besties. If only  was there.,Positive
" LOL! Yeah, well, same applies to the grocery store.",Neutral
"_brown Damnit, I accidentally put  instead of  in my #FollowFriday",Negative
" hey, got your text sms. i plan on maybe just catching a flick tonight. last night was a wee bit too much for me",Negative
still feeling BLAH. gave a biiiiig dose of insulin that i needed about 24 hours ago. Now I`m off to take my last exam of my junior year.,Negative
"Have to leave to meet  now. I`m looking forward to seeing him, but I`m so not done what I wanted to. Boo-urns. Wish I was @ work.",Negative
"Back @ work, migraine lingering   Can`t wait for the weekend!",Negative
"home from STING..crunk (of course)..long **** day N nite..also, visited my boy Rob V..all is good..happy mother`s day!!..word to yo mutha",Positive
Having internet access on board means I can see what bad weather we are flying into   http://bit.ly/h14Tw,Neutral
I`m really mad at the world today. Today is just a sucky day.,Negative
 that sucks man,Negative
i hate interviews. im going to do horrible today,Negative
having a good day at work lots of sales but boss is under foot.   she`s a nice person but i dont like the boss bugging me,Neutral
 - Have you dissapeared to go on the Ellen Show?,Neutral
  i for one welcome our new cyber-criminal-overlords.,Positive
Time to get off the puter. Nite all.,Neutral
_b I met  at EPIC - he said you were at SS Coffee... I thought he just meant sitting there drinking a lot of coffee,Neutral
is tired and about to go to sleep. night everyone,Negative
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",Negative
_bug68 Bill is super!! Thanks you!!,Positive
 www.youtube.com/watch?v=CyJvgnP9-vA sowwwwyy! U girls make me twisted all time,Negative
So its my bday weekend and **** is already headed south...might have to drive to atl tonight,Negative
 really?!?! It looks like its going to rain here but its all just gray.... La is a bummer sumtimes,Negative
can`t wait to see those pics ,Neutral
Tired and gunna go to bed soon!!! First time I`ve been online today!!  All ready for mother`s day tomorow,Negative
THE CURIOUS CASE OF BENJAMIN BUTTON!!!!! I`m so excited about this **** movie,Positive
Waiting in a long line at chick-fil-a,Neutral
still no eat. still in office. and now i get sick throat 3 days before i leave for an air condition throat killing tour bus,Negative
 thanks so much for that!  i will most definitely pass that along to my amazing mother...,Positive
" Hi Susan, read your blog.  It`s really good.  I look forward for the tweet updates",Positive
 We said anyone could 'write one'...those special 10 selected are - of course - chosen because they are OUTSTANDING!,Positive
Got 2 get ready 4 work  would rather be fishing!,Neutral
"_carter It says 'This video is private.', WTF????",Negative
 glad u feel like cooking I`m so tired,Neutral
"Ahhh, 7 am meetings  thanks Reimer!",Negative
This day jus keeps getting better and better  FML,Positive
 YAY! Busy is good,Positive
" Bubble tea is awesome, it`s been so long since I`ve had some",Positive
" If you keep trying, you`ll get it right the last time.",Positive
 Ozzy isn`t following you yet,Neutral
lost my game  by 3 POINTS!!!!!,Negative
  Can`t figure out how to reply on Tumblr sorry! I don`t get into NYC until 6/4 so I can`t go to any events b4 then,Negative
  i want alexis bledel back on screen every thursday night,Neutral
Waking up .....working....Happy as can be!  Its gonna be a great day today... I can see it..and im not sore from Running yesterday!!!,Positive
: sorry forgot that,Negative
 saw you walking back from starbucks. I was in the orange beetle,Neutral
" i can`t listen to music at work  I probably could try, but then i`ll have to start hunting for a new job on monday",Negative
  If I told you how often I wash my hair you would never speak to me again,Neutral
i feel like **** right now and i have one more month of school left  FML HARD,Negative
Work out. Now actual work,Neutral
  I`m sorry to hear that. Here is my optimist: Things will get better. For all of us.,Negative
 love you 2  so how are you? xxxx,Positive
Not in a good mood.  My mama`s away with my sis so can`t talk to either of them and my boy can`t see me this weekend as planned.,Negative
 hope you had a FAB time!!! Just saw your twitpics ... Love that you wore THE dress. Great pic of D too,Positive
" did you see Star Trek yet?  i`ve seen it, twice already! i didn`t like it the first time, the second time was way better!!! hahaha",Neutral
"Gary Just tried the Ommegang Chocolate Indulgence: no chocolate, no indulgence, just ... metallic.  Best I can... http://ff.im/-3o7RV",Positive
 alredy had my chocolate  it is impossible to resist ;),Positive
 http://twitpic.com/4wb52 - Such a pretty baby!,Positive
"been working all day, finally relaxing!! i miss you",Neutral
" haha you didnt see my macbook or my 24`` imac in that pic, so feel extra jealous lolll",Negative
"GoodMorning, Hope Everyone Has A Beautiful Day Today  x",Positive
 saw the deforestation.so not surprised of bad back but  moan back at you.lol,Negative
 hurts to be you! Sunshine all weekend and you don`t get to play. That`s sad.,Negative
My ipod has taken it`s last breath... Im truly devastated. I have lost my public transportation companion,Negative
Drinking coffee....MMMMM.....coffee,Neutral
needs somewhere to go...its still lush out + i want to be back out in it,Neutral
OMG 17 again... I`m so buying that on DVD   Yeahness for another good movie  Also thanks to my movie buddies :],Positive
 haha that`s because you also look amazing in it! have fun!,Positive
My new car is already giving me problems  That cant be a good sign.,Negative
 Thanks! Good morning,Positive
 like the name  what kind did you get?,Neutral
" Ok, im not really that far yet  On the 2nd part of 4. Wish she did them earlier though, like mid day so I could be involved",Positive
 I`m stuck with BOO!!!! Jeeeez shoot me now,Negative
is now going to see his very ill uncle on saturday and the night at his house as even more bad news has come up,Negative
"At this point, I`m gonna be left here with only Tommy. He is no prize.",Negative
 thanks Daxx you too!  God Bless you brother!,Positive
Too tired,Negative
Head is throbbing from lack of sleep and still have mucho work. Doesn`t feel like a Friday,Negative
 _face  and nana.wish i was there last night,Positive
 I need a hug... Gotta find another place to live and a new job,Neutral
listening to faith spirituality and the internet,Neutral
Happy Star Wars Day? OHHHH...now I get it. May the 4th be with you.  love it. (and mondays). (sorry again) #starwarsday,Neutral
The trains turned into a microwave,Neutral
thought I was going to have a fun day,Neutral
Ha I got another #followfriday. take that ! oh... your listed too... thanks a lot  ya jerk.,Positive
 yess  you?,Neutral
 lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,Positive
backache,Negative
shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit advanced databases in 8 hours and 13 minutes  fail,Negative
It does! Lol but i have none,Positive
back to school! feels like its gonna be a great day,Positive
Going to the doctors now. Scared as ****.,Negative
Signing off to spend time with my hubby   Goodnight / day tweeple!   Have a very Happy Mother`s Day!,Positive
"Today isn`t going the way I planned.  Early lunchbreak & I may not be back til Mon. Weekend gonna be fun with friends, tho.",Positive
off to work again ... mercedez`s last day,Neutral
; keeps getting such delayed responses. why is my internet so messed up?!,Negative
" lol we are going to place called frosties its a soft play centre it knackers them lol, then i get peace for the gym  lol",Neutral
my dark knight dvd is missing   i`m pissed,Negative
I`m at work!!!! Ugghhhhh someone save me now,Positive
 why thank you. I might just take you up on your offer,Neutral
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,Negative
happy mommys day!,Positive
i went to the doctor. i hav a virus.,Neutral
ERRG I cant believe that i am not working at all next week i think its time to move on from Chick fil A,Negative
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",Positive
happy mothers day to all the baby mommasss! rofl,Positive
  thanks homskis! Its like christmas!,Positive
im cleaning listening to fiona apple then off to a birthday party!!!!!! i cant believe that im 25 already,Neutral
My Twitteeeerrr babiieshow Ive missed you  I hate this whole not having a phone thng,Negative
alhamdulilah. i got accepted into nafa,Neutral
"According to TweetStats I tweet more between the hours of 10am and 3am with Monday, Sunday and Saturday filled with Tweetage!",Neutral
where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.,Neutral
Its summer and no one has texted/called me. Im a loner,Negative
I miss the Air Canada Centre and Andy Frost...,Negative
 OMG that dunk on Dampier was MASSIVE! Big ups!!! Love it...,Positive
Good Morning  i ate pizza for breakfast,Positive
fighting with mum on mothers day,Negative
"I`m at work, hoping to enjoy the day!!  Fingers are crossed!!",Positive
"driving home,IÃÂ¯ÃÂ¿ÃÂ½m so tired,had a bad day",Negative
" lol,  on blip.fm is not the  on twitter! i hate that song btw",Negative
in edinburgh. just had a chinese yum! better take wee haggis out hes cryin at me   dunno y tho xox,Neutral
Be beautiful        http://www.theskinsociety.com,Positive
In children`s hospital ER hoping Meredith does NOT have a broken elbow/arm,Positive
_Manford Awww thats such a lovely thing for u to say to me  are u doing any in manchester? x,Positive
 Whom do yu wanna kill ??,Negative
l need some more aussies !,Neutral
i lost a follower,Negative
 i miss yoooooooou my poia,Negative
Someone just **** up birthday **** for me ...  he basically said the song is about a **** being selfish ... Listen to the song carefully,Negative
" I`m sorry you aren`t having a good day.  cheer up though, your day doesn`t define you...",Neutral
Exams are so stressful,Negative
 have a safe trip joshy poo.......you`ll knock them dead at your speech,Positive
 Sooo SAD I will miss you here in San Diego!!!,Negative
 It`s a an MK mentality...I think,Neutral
Well. The jag just took a **** on my way home from training  I hope it`s just the alternator.,Neutral
 I get to go to coffee now  It`s no fun. I hate it too!,Negative
"Watched Adaptation, Interiors, and The Women (1939). All in all, good movie night. Breakfast with dad and kelley in the morning",Positive
My back is soooooo hurting.,Negative
It`s soupy-soup time. Today: Heinz Cream of Chicken and Mushroom - yum! bbl,Neutral
 ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???,Neutral
my bf had to go to her dads for the week end. i will have 2 full days of bordom.,Negative
Okay one of my ears popped so now I know what everything sounds like and everything is reall loud,Neutral
hates these khaki pants! project to do todayy,Negative
"Man, finishing 'Operation Anchorage' sure gives you an unfair advantage, loot-wise... I love the stealth field suit and Gauss rifle",Positive
I wasn`t sore yesterday. But i`m definitely feeling those hills now! My legs hurt all the way up to my booty. Its a good hurt,Positive
 I`m putting in Societe Generale in China. Very interesting stuff but has me away too much ... gotta fix that!,Positive
" i`m hear ya dude, i can`t either",Neutral
 Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!,Positive
Good mornin & no u tol twitter LOL but I knew & called u yesterday 2 see if u were okay but no answer  how r u feelin babe?,Positive
 i keep trying to get through but i cant,Negative
WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,Negative
says HAPPY MOTHER`S DAY!  http://plurk.com/p/sv70e,Positive
Whoooooo! Spcn 2009!  ready to cheer for !,Positive
: 3 hrs to go pa ako,Neutral
 dammm..i thought i was on to something  lollllll,Negative
 crud is all I can say,Neutral
_ray Bright Eyes=Contentment,Positive
Our Christian mobile directory is running! Just a month old  Visit http://tiny.cc/caribdir,Neutral
" you are amazing as alice, as if she was made for you. Thank you for everything! I now have a face for the character",Positive
I`m gonna cryyy!!! My car looked so good clean and its **** raining!?! I always do this...wash it right before it rains,Neutral
" its a travesty, no? and, the people who are doing this said they`d THINK about involving joss whedon!!!!",Neutral
off work yesss ! super hungry,Negative
 I was going to but I`m siiiick  I`m so mad!!!! Jason said I have to recover fully before I go paintballin again! Are u playing?,Negative
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,Neutral
 facepalm  hope the interview is a choice and not a forced thing...,Positive
woke up from bad dream.  grrrr,Negative
"Good am all..: hanging out with ma dad 2day, looking for a job still..",Positive
 apparently were not as good as the Brazillians tho`,Negative
Jimmy Eat World`s initials are JEW....new favorite band,Positive
RIP Robin from the Washington Park library,Negative
