Sentence,Label,ProcessedSentence
The application was complicated and not user-friendly.,Negative,application complicated not userfriendly
The event was a failure with many issues.,Negative,event failure many issue
He felt frustrated by the lack of support and progress.,Negative,feel frustrate lack support progress
The lecture was uninspiring and lacked depth.,Negative,lecture uninspire lack depth
The customer support was slow and unhelpful.,Negative,customer support slow unhelpful
The movie was uninspired and failed to entertain.,Negative,movie uninspired fail entertain
Her behavior was unprofessional and inappropriate.,Negative,behavior unprofessional inappropriate
The software update caused more problems than it solved.,Negative,software update cause problem solve
The product was not as described and disappointing.,Negative,product not describe disappointing
The service was unsatisfactory and did not meet expectations.,Negative,service unsatisfactory not meet expectation
The feedback was harsh and lacked constructive elements.,Negative,feedback harsh lack constructive element
The event was poorly executed and fell short of expectations.,Negative,event poorly execute fall short expectation
The training was inadequate and did not address key issues.,Negative,training inadequate not address key issue
The book was repetitive and lacked new insights.,Negative,book repetitive lack new insight
The restaurant experience was unpleasant and frustrating.,Negative,restaurant experience unpleasant frustrating
His performance was disappointing and did not meet standards.,Negative,performance disappointing not meet standard
The concert was poorly organized and did not live up to expectations.,Negative,concert poorly organize not live expectation
The product had numerous defects and issues.,Negative,product numerous defect issue
Her presentation was unclear and difficult to follow.,Negative,presentation unclear difficult follow
The service was lacking and did not provide value.,Negative,service lack not provide value
The vacation was ruined by poor planning and unexpected issues.,Negative,vacation ruin poor planning unexpected issue
The feedback was overly negative and lacked useful advice.,Negative,feedback overly negative lack useful advice
The app was difficult to navigate and full of bugs.,Negative,app difficult navigate full bug
The event was a disaster with many problems.,Negative,event disaster many problem
He felt disillusioned by the lack of progress and support.,Negative,feel disillusion lack progress support
The food was undercooked and unappetizing.,Negative,food undercooked unappetize
The lecture was boring and failed to engage the audience.,Negative,lecture boring fail engage audience
The customer service was unhelpful and dismissive.,Negative,customer service unhelpful dismissive
The new Apple product was riddled with bugs and failed to live up to its promises.,Negative,new apple product riddle bug fail live promise
John Cena’s latest movie was a major letdown and lacked any real excitement.,Negative,john cenas late movie major letdown lack real excitement
Samsung's customer service was incredibly unhelpful and dismissive.,Negative,samsung customer service incredibly unhelpful dismissive
LeBron James' recent game was underwhelming and far below his usual standards.,Negative,lebron james recent game underwhelming far usual standard
The new Nike sneakers were uncomfortable and poorly designed.,Negative,new nike sneaker uncomfortable poorly design
The Tesla Model S had numerous defects and left me very disappointed.,Negative,tesla model numerous defect leave disappointed
Kanye West's album was repetitive and failed to offer any fresh content.,Negative,kanye west album repetitive fail offer fresh content
The Starbucks coffee was lukewarm and lacked the usual quality.,Negative,starbuck coffee lukewarm lack usual quality
The latest iPhone update caused more problems than it solved.,Negative,late iphone update cause problem solve
The new McDonald's burger was bland and not worth the hype.,Negative,new mcdonald burger bland not worth hype
Mark Zuckerberg’s recent public appearance was awkward and unconvincing.,Negative,mark zuckerbergs recent public appearance awkward unconvincing
The Xbox Series X experienced frequent crashes and technical issues.,Negative,xbox series x experience frequent crash technical issue
The recent Taylor Swift concert was poorly organized and failed to impress.,Negative,recent taylor swift concert poorly organize fail impress
The new Amazon Echo had numerous glitches and was difficult to set up.,Negative,new amazon echo numerous glitch difficult set
Oprah’s latest book was uninspiring and lacked new insights.,Negative,oprah late book uninspire lack new insight
The recent Google Pixel phone had multiple defects and was frustrating to use.,Negative,recent google pixel phone multiple defect frustrating use
The new Pepsi flavor was disappointing and did not meet expectations.,Negative,new pepsi flavor disappointing not meet expectation
The latest Rihanna album was repetitive and failed to showcase her talent.,Negative,late rihanna album repetitive fail showcase talent
The new Ford Mustang had several quality issues and was not worth the price.,Negative,new ford mustang several quality issue not worth price
The new Disney movie was a letdown and failed to capture the magic of its predecessors.,Negative,new disney movie letdown fail capture magic predecessor
The recent Ellen DeGeneres show was boring and lacked engaging content.,Negative,recent ellen degenere show boring lack engage content
The new Beats headphones were overpriced and offered mediocre sound quality.,Negative,new beat headphone overprice offer mediocre sound quality
The recent Jennifer Lopez performance was lackluster and did not meet her usual standards.,Negative,recent jennifer lopez performance lackluster not meet usual standard
The new Adobe software update caused more problems than it fixed.,Negative,new adobe software update cause problem fix
The new Red Bull flavor was underwhelming and did not deliver the usual energy boost.,Negative,new red bull flavor underwhelming not deliver usual energy boost
The recent Ariana Grande concert was poorly executed and fell short of expectations.,Negative,recent ariana grande concert poorly execute fall short expectation
The new Dell laptop was slow and had numerous technical issues.,Negative,new dell laptop slow numerous technical issue
The new Coca-Cola Zero Sugar was disappointing and did not taste as advertised.,Negative,new cocacola zero sugar disappointing not taste advertise
The recent LeBron James documentary was poorly produced and lacked depth.,Negative,recent lebron james documentary poorly produce lack depth
The new Samsung TV had several defects and was a major disappointment.,Negative,new samsung tv several defect major disappointment
The recent James Cameron movie was uninspired and did not live up to his reputation.,Negative,recent james cameron movie uninspired not live reputation
The new LG appliance had numerous problems and was not worth the investment.,Negative,new lg appliance numerous problem not worth investment
The recent Cardi B album was repetitive and failed to showcase her versatility.,Negative,recent cardi b album repetitive fail showcase versatility
The new Windows update caused significant performance issues on my computer.,Negative,new window update cause significant performance issue computer
The recent Ellen DeGeneres book was dull and lacked engaging content.,Negative,recent ellen degenere book dull lack engage content
The new H&M clothing line was poorly made and did not meet quality expectations.,Negative,new hm clothing line poorly make not meet quality expectation
The recent Shakira performance was lackluster and did not live up to her usual energy.,Negative,recent shakira performance lackluster not live usual energy
The new Garmin watch had several inaccuracies and was frustrating to use.,Negative,new garmin watch several inaccuracy frustrating use
The recent Travis Scott concert was poorly organized and did not deliver a memorable experience.,Negative,recent travis scott concert poorly organize not deliver memorable experience
The new Apple Watch was overpriced and had numerous bugs.,Negative,new apple watch overprice numerous bug
The recent Kanye West fashion line was underwhelming and failed to impress.,Negative,recent kanye west fashion line underwhelming fail impress
The new Sonos speakers had poor sound quality and were not worth the cost.,Negative,new sonos speaker poor sound quality not worth cost
The recent Madonna album was disappointing and did not offer anything new.,Negative,recent madonna album disappointing not offer anything new
The new Toyota Camry had several issues and did not meet performance expectations.,Negative,new toyota camry several issue not meet performance expectation
The recent BTS concert was disorganized and lacked the usual excitement.,Negative,recent bts concert disorganize lack usual excitement
The new Fitbit tracker had several technical problems and was not user-friendly.,Negative,new fitbit tracker several technical problem not userfriendly
The recent Justin Bieber album was repetitive and lacked originality.,Negative,recent justin bieber album repetitive lack originality
The new Bose headphones were uncomfortable and had poor sound quality.,Negative,new bose headphone uncomfortable poor sound quality
The recent Ellen DeGeneres comedy special was unfunny and lacked energy.,Negative,recent ellen degenere comedy special unfunny lack energy
The new Nike apparel was poorly designed and did not meet the usual standards.,Negative,new nike apparel poorly design not meet usual standard
The recent Jennifer Aniston movie was boring and failed to captivate the audience.,Negative,recent jennifer aniston movie boring fail captivate audience
The new Samsung Galaxy phone had multiple defects and was frustrating to use.,Negative,new samsung galaxy phone multiple defect frustrating use
The recent Adele concert was disappointing and did not live up to her usual standard.,Negative,recent adele concert disappointing not live usual standard
The new Puma sneakers were uncomfortable and lacked durability.,Negative,new puma sneaker uncomfortable lack durability
The recent Robert Downey Jr. movie was uninspired and failed to engage viewers.,Negative,recent robert downey jr movie uninspired fail engage viewer
The new Apple TV had numerous glitches and did not meet performance expectations.,Negative,new apple tv numerous glitch not meet performance expectation
The recent Selena Gomez album was lackluster and failed to impress.,Negative,recent selena gomez album lackluster fail impress
The new Sony camera had several technical issues and was difficult to use.,Negative,new sony camera several technical issue difficult use
The recent Will Smith movie was poorly executed and did not entertain.,Negative,recent smith movie poorly execute not entertain
The new LG TV had poor picture quality and was not worth the investment.,Negative,new lg tv poor picture quality not worth investment
The recent Dua Lipa concert was disorganized and failed to impress the audience.,Negative,recent dua lipa concert disorganize fail impress audience
The new Ford truck had numerous defects and was disappointing.,Negative,new ford truck numerous defect disappointing
The recent Drake album was repetitive and lacked fresh content.,Negative,recent drake album repetitive lack fresh content
The new Bose soundbar was overpriced and had poor sound quality.,Negative,new bose soundbar overprice poor sound quality
The recent Tom Hanks movie was dull and did not live up to expectations.,Negative,recent tom hanks movie dull not live expectation
The new Canon camera had several issues and did not perform as advertised.,Negative,new canon camera several issue not perform advertised
The recent Miley Cyrus performance was uninspiring and failed to engage the audience.,Negative,recent miley cyrus performance uninspire fail engage audience
The new Microsoft Surface tablet had multiple problems and was frustrating to use.,Negative,new microsoft surface tablet multiple problem frustrating use
The recent Katy Perry album was lackluster and did not showcase her talent.,Negative,recent katy perry album lackluster not showcase talent
The new Tesla truck had numerous issues and did not meet performance standards.,Negative,new tesla truck numerous issue not meet performance standard
The recent Hugh Jackman movie was poorly executed and did not entertain.,Negative,recent hugh jackman movie poorly execute not entertain
The new Beats by Dre headphones were uncomfortable and had mediocre sound quality.,Negative,new beat dre headphone uncomfortable mediocre sound quality
The recent Rihanna concert was disorganized and failed to impress.,Negative,recent rihanna concert disorganize fail impress
The new iPad update caused several glitches and performance issues.,Negative,new ipad update cause several glitch performance issue
The recent Lady Gaga album was disappointing and did not offer anything new.,Negative,recent lady gaga album disappointing not offer anything new
The new Samsung refrigerator had numerous defects and was not worth the cost.,Negative,new samsung refrigerator numerous defect not worth cost
The recent Bruno Mars concert was poorly organized and did not live up to expectations.,Negative,recent bruno mars concert poorly organize not live expectation
The new Fitbit watch was inaccurate and frustrating to use.,Negative,new fitbit watch inaccurate frustrating use
The recent George Clooney movie was dull and failed to captivate the audience.,Negative,recent george clooney movie dull fail captivate audience
The new JBL speakers had poor sound quality and were overpriced.,Negative,new jbl speaker poor sound quality overprice
The recent Post Malone album was repetitive and lacked originality.,Negative,recent post malone album repetitive lack originality
The new Apple AirPods had several issues and were not worth the price.,Negative,new apple airpod several issue not worth price
The recent Charlize Theron movie was uninspired and did not entertain.,Negative,recent charlize theron movie uninspired not entertain
The new LG washing machine had multiple problems and did not meet expectations.,Negative,new lg washing machine multiple problem not meet expectation
The recent Eminem album was disappointing and failed to impress.,Negative,recent eminem album disappointing fail impress
The new Roku TV had several defects and was frustrating to use.,Negative,new roku tv several defect frustrating use
The recent Jennifer Lopez performance was lackluster and did not live up to her usual energy.,Negative,recent jennifer lopez performance lackluster not live usual energy
The new Google Home speaker had numerous issues and was difficult to set up.,Negative,new google home speaker numerous issue difficult set
The recent Meryl Streep movie was poorly executed and failed to engage the audience.,Negative,recent meryl streep movie poorly execute fail engage audience
The new Apple MacBook had several glitches and did not perform as expected.,Negative,new apple macbook several glitch not perform expect
The recent Travis Scott album was repetitive and lacked new content.,Negative,recent travis scott album repetitive lack new content
The new Samsung smartwatch had technical issues and was not user-friendly.,Negative,new samsung smartwatch technical issue not userfriendly
The recent Jessica Alba movie was dull and did not entertain.,Negative,recent jessica alba movie dull not entertain
The new HP laptop had numerous defects and was frustrating to use.,Negative,new hp laptop numerous defect frustrating use
The recent Ariana Grande performance was disorganized and fell short of expectations.,Negative,recent ariana grande performance disorganize fall short expectation
The new Bose noise-canceling headphones were uncomfortable and had mediocre sound quality.,Negative,new bose noisecanceling headphone uncomfortable mediocre sound quality
The recent Michael B. Jordan movie was poorly executed and did not captivate the audience.,Negative,recent michael b jordan movie poorly execute not captivate audience
The new LG air conditioner had several issues and did not perform as advertised.,Negative,new lg air conditioner several issue not perform advertised
The recent Zendaya album was lackluster and did not showcase her talent.,Negative,recent zendaya album lackluster not showcase talent
The new Amazon Kindle had numerous glitches and was difficult to use.,Negative,new amazon kindle numerous glitch difficult use
The online course was poorly structured and lacked valuable content.,Negative,online course poorly structure lack valuable content
The new restaurant was overpriced and the food was underwhelming.,Negative,new restaurant overprice food underwhelme
The software update caused my computer to slow down significantly.,Negative,software update cause computer slow significantly
The new fitness app was difficult to navigate and full of bugs.,Negative,new fitness app difficult navigate full bug
The public transportation system was unreliable and often delayed.,Negative,public transportation system unreliable often delay
The hotel room was dirty and did not meet basic hygiene standards.,Negative,hotel room dirty not meet basic hygiene standard
The customer support hotline was unresponsive and unhelpful.,Negative,customer support hotline unresponsive unhelpful
The new educational toy was not engaging and failed to capture interest.,Negative,new educational toy not engage fail capture interest
The neighborhood park was poorly maintained and unsafe for children.,Negative,neighborhood park poorly maintain unsafe child
The streaming service had frequent outages and poor picture quality.,Negative,streaming service frequent outage poor picture quality
The new smartphone app was complicated and had frequent crashes.,Negative,new smartphone app complicated frequent crash
The local gym had outdated equipment and poor maintenance.,Negative,local gym outdate equipment poor maintenance
The online retailer’s shipping was delayed and customer service was unhelpful.,Negative,online retailer shipping delay customer service unhelpful
The new board game was tedious and failed to entertain.,Negative,new board game tedious fail entertain
The charity event was poorly organized and lacked effective planning.,Negative,charity event poorly organize lack effective planning
The new cosmetic product caused skin irritation and did not deliver promised results.,Negative,new cosmetic product cause skin irritation not deliver promise result
The interior design of the new office was cramped and inefficient.,Negative,interior design new office cramp inefficient
The new cookbook recipes were unclear and did not produce good results.,Negative,new cookbook recipe unclear not produce good result
The online dating app was filled with fake profiles and had poor functionality.,Negative,online date app fill fake profile poor functionality
The educational seminar was uninspiring and failed to provide actionable insights.,Negative,educational seminar uninspire fail provide actionable insight
The new video game had numerous glitches and was frustrating to play.,Negative,new video game numerous glitch frustrating play
The pet grooming service was unprofessional and did not meet expectations.,Negative,pet grooming service unprofessional not meet expectation
The furniture delivery was delayed and the assembly was poorly done.,Negative,furniture delivery delay assembly poorly do
The new workout program was ineffective and lacked proper guidance.,Negative,new workout program ineffective lack proper guidance
The repair service was slow and did not resolve the issue properly.,Negative,repair service slow not resolve issue properly
The new e-book had numerous formatting errors and was hard to read.,Negative,new ebook numerous format error hard read
The holiday resort was overcrowded and the amenities were lacking.,Negative,holiday resort overcrowded amenity lack
The customer loyalty program was confusing and did not offer real benefits.,Negative,customer loyalty program confusing not offer real benefit
The new parenting book was outdated and did not provide useful advice.,Negative,new parenting book outdate not provide useful advice
The local library had a limited selection and was poorly organized.,Negative,local library limited selection poorly organize
The gardening tools were flimsy and did not perform well.,Negative,gardening tool flimsy not perform well
The new health insurance plan had hidden fees and inadequate coverage.,Negative,new health insurance plan hide fee inadequate coverage
The online marketplace had numerous fraudulent sellers and poor support.,Negative,online marketplace numerous fraudulent seller poor support
The mobile phone plan had hidden charges and poor customer service.,Negative,mobile phone plan hide charge poor customer service
The new travel app was difficult to use and had frequent crashes.,Negative,new travel app difficult use frequent crash
The local restaurant had poor service and the food quality was subpar.,Negative,local restaurant poor service food quality subpar
The online magazine had frequent typos and was poorly edited.,Negative,online magazine frequent typo poorly edit
The home renovation service was unreliable and did not meet deadlines.,Negative,home renovation service unreliable not meet deadline
The new recipe book had poorly written instructions and mediocre recipes.,Negative,new recipe book poorly write instruction mediocre recipe
The new social media platform had privacy concerns and a confusing interface.,Negative,new social medium platform privacy concern confusing interface
The new fitness tracker had inaccurate readings and was hard to set up.,Negative,new fitness tracker inaccurate reading hard set
The local theater production was poorly acted and did not engage the audience.,Negative,local theater production poorly act not engage audience
The new car model had several design flaws and was uncomfortable to drive.,Negative,new car model several design flaw uncomfortable drive
The restaurant's menu was limited and did not offer healthy options.,Negative,restaurant menu limited not offer healthy option
The new makeup brand caused allergic reactions and was not well-formulated.,Negative,new makeup brand cause allergic reaction not wellformulate
The new smart home device had connectivity issues and was difficult to integrate.,Negative,new smart home device connectivity issue difficult integrate
The local community center had outdated facilities and lacked programs.,Negative,local community center outdate facility lack program
The new language learning app was ineffective and did not improve skills.,Negative,new language learn app ineffective not improve skill
The new mattress was uncomfortable and caused back pain.,Negative,new mattress uncomfortable cause back pain
The online grocery store had missing items and poor delivery service.,Negative,online grocery store miss item poor delivery service
The new TV show was predictable and failed to hold interest.,Negative,new tv show predictable fail hold interest
The local bakery had stale products and poor customer service.,Negative,local bakery stale product poor customer service
The new pet food was poorly formulated and did not meet nutritional needs.,Negative,new pet food poorly formulate not meet nutritional need
The online tutoring service was disorganized and did not provide effective help.,Negative,online tutoring service disorganize not provide effective help
The new outdoor gear was poorly made and did not withstand weather conditions.,Negative,new outdoor gear poorly make not withstand weather condition
The local dentist's office was unhygienic and had unprofessional staff.,Negative,local dentist office unhygienic unprofessional staff
The new streaming movie was of poor quality and had numerous technical issues.,Negative,new streaming movie poor quality numerous technical issue
The new car insurance policy had high premiums and inadequate coverage.,Negative,new car insurance policy high premium inadequate coverage
The local gym’s group classes were poorly instructed and lacked energy.,Negative,local gym group class poorly instruct lack energy
The new home cleaning service was inconsistent and did not meet expectations.,Negative,new home cleaning service inconsistent not meet expectation
The online course had outdated material and lacked depth.,Negative,online course outdate material lack depth
The new cooking appliance was difficult to use and did not perform as expected.,Negative,new cooking appliance difficult use not perform expect
The local pet boarding facility was dirty and untrustworthy.,Negative,local pet boarding facility dirty untrustworthy
The new investment app had frequent glitches and poor customer support.,Negative,new investment app frequent glitch poor customer support
The local hardware store had limited stock and unhelpful staff.,Negative,local hardware store limit stock unhelpful staff
The new book club had disorganized meetings and lacked engaging discussions.,Negative,new book club disorganize meeting lack engage discussion
The online payment system was insecure and had frequent issues.,Negative,online payment system insecure frequent issue
The new restaurant's atmosphere was uninviting and the food was mediocre.,Negative,new restaurant atmosphere uninvite food mediocre
The local spa had subpar treatments and poor hygiene practices.,Negative,local spa subpar treatment poor hygiene practice
The new computer software was slow and had frequent crashes.,Negative,new computer software slow frequent crash
The online fitness program had misleading information and poor instructions.,Negative,online fitness program mislead information poor instruction
The new electric bike had several mechanical issues and was difficult to use.,Negative,new electric bike several mechanical issue difficult use
The local clothing store had outdated fashion and poor customer service.,Negative,local clothing store outdate fashion poor customer service
The new subscription box was poorly curated and did not meet expectations.,Negative,new subscription box poorly curate not meet expectation
The new educational app was buggy and lacked meaningful content.,Negative,new educational app buggy lack meaningful content
The local museum had outdated exhibits and uninformative displays.,Negative,local museum outdate exhibit uninformative display
The new drone had poor battery life and unreliable performance.,Negative,new drone poor battery life unreliable performance
The online travel booking site had hidden fees and poor customer service.,Negative,online travel booking site hide fee poor customer service
The new health supplement was ineffective and caused side effects.,Negative,new health supplement ineffective cause side effect
The local car repair shop had slow service and did not fix the problem.,Negative,local car repair shop slow service not fix problem
The new kids' toy was poorly made and did not engage children.,Negative,new kids toy poorly make not engage child
The online writing course was disorganized and lacked practical advice.,Negative,online writing course disorganize lack practical advice
The new home security system had frequent malfunctions and was unreliable.,Negative,new home security system frequent malfunction unreliable
The local bakery had inconsistent quality and unhelpful staff.,Negative,local bakery inconsistent quality unhelpful staff
The new virtual reality headset was uncomfortable and had technical issues.,Negative,new virtual reality headset uncomfortable technical issue
The online fitness class was poorly structured and did not offer real value.,Negative,online fitness class poorly structure not offer real value
The new smartwatch had poor battery life and inaccurate sensors.,Negative,new smartwatch poor battery life inaccurate sensor
The local theater had uncomfortable seating and poor acoustics.,Negative,local theater uncomfortable seating poor acoustic
The new personal finance app had numerous bugs and poor user experience.,Negative,new personal finance app numerous bug poor user experience
The online language course was not engaging and failed to improve skills.,Negative,online language course not engage fail improve skill
The new restaurant chain had overpriced menu items and mediocre food.,Negative,new restaurant chain overprice menu item mediocre food
The local bookshop had a limited selection and unhelpful staff.,Negative,local bookshop limited selection unhelpful staff
The new kitchen gadget was difficult to use and did not perform as advertised.,Negative,new kitchen gadget difficult use not perform advertised
The online dating service was filled with fake profiles and had poor customer support.,Negative,online date service fill fake profile poor customer support
The new music streaming service had frequent outages and poor sound quality.,Negative,new music streaming service frequent outage poor sound quality
The local gym equipment was old and poorly maintained.,Negative,local gym equipment old poorly maintain
The new skincare product caused irritation and did not improve appearance.,Negative,new skincare product cause irritation not improve appearance
The online event platform had technical difficulties and poor support.,Negative,online event platform technical difficulty poor support
The new home appliance was unreliable and frequently malfunctioned.,Negative,new home appliance unreliable frequently malfunction
The local coffee shop had slow service and poor-quality beverages.,Negative,local coffee shop slow service poorquality beverage
This blog post was poorly researched and lacked depth.,Negative,blog post poorly research lack depth
The video was monotonous and failed to capture my interest.,Negative,video monotonous fail capture interest
The article was filled with inaccuracies and misleading information.,Negative,article fill inaccuracy misleading information
The photo was low quality and did not convey the intended message.,Negative,photo low quality not convey intended message
The social media update was repetitive and lacked originality.,Negative,social medium update repetitive lack originality
The post was poorly written and had numerous grammatical errors.,Negative,post poorly write numerous grammatical error
The meme was outdated and not funny.,Negative,meme outdated not funny
The podcast was dull and failed to offer any new insights.,Negative,podcast dull fail offer new insight
The comment section was filled with spam and irrelevant content.,Negative,comment section fill spam irrelevant content
The content was biased and lacked a balanced perspective.,Negative,content bias lack balanced perspective
The review was unhelpful and did not provide any valuable information.,Negative,review unhelpful not provide valuable information
The tweet was vague and did not address the main issue.,Negative,tweet vague not address main issue
The user’s opinion was uninformed and lacked substance.,Negative,user opinion uninformed lack substance
The caption was misleading and did not match the image.,Negative,caption misleading not match image
The post was too promotional and lacked genuine content.,Negative,post promotional lack genuine content
The video tutorial was confusing and did not explain the steps clearly.,Negative,video tutorial confusing not explain step clearly
The blog entry was too short and did not cover the topic adequately.,Negative,blog entry short not cover topic adequately
The social media update was irrelevant and did not engage the audience.,Negative,social medium update irrelevant not engage audience
The article had a biased tone and did not consider opposing views.,Negative,article biased tone not consider oppose view
The image was over-edited and looked unnatural.,Negative,image overedite look unnatural
The content was repetitive and did not offer new information.,Negative,content repetitive not offer new information
The comment was rude and did not contribute to the discussion.,Negative,comment rude not contribute discussion
The post lacked context and was difficult to understand.,Negative,post lack context difficult understand
The video had poor audio quality and was hard to follow.,Negative,video poor audio quality hard follow
The post was filled with errors and did not meet professional standards.,Negative,post fill error not meet professional standard
The review was overly negative and did not provide constructive criticism.,Negative,review overly negative not provide constructive criticism
The tweet was out of touch with current events and trends.,Negative,tweet touch current event trend
The article was lengthy but lacked valuable content.,Negative,article lengthy lack valuable content
The meme was offensive and inappropriate.,Negative,meme offensive inappropriate
The social media post was overly sensationalized and lacked accuracy.,Negative,social medium post overly sensationalize lack accuracy
The blog post was poorly organized and hard to navigate.,Negative,blog post poorly organize hard navigate
The video content was boring and lacked engaging elements.,Negative,video content boring lack engaging element
The caption was confusing and did not clarify the image's intent.,Negative,caption confusing not clarify image intent
The comment was dismissive and did not address the main point.,Negative,comment dismissive not address main point
The update was irrelevant to the target audience and lacked engagement.,Negative,update irrelevant target audience lack engagement
The post was too technical and not accessible to the average reader.,Negative,post technical not accessible average reader
The article had too many ads and disrupted the reading experience.,Negative,article many ad disrupt reading experience
The video was poorly edited and hard to watch.,Negative,video poorly edit hard watch
The post contained irrelevant personal opinions that detracted from the content.,Negative,post contain irrelevant personal opinion detract content
The comment section was filled with off-topic discussions.,Negative,comment section fill offtopic discussion
The review lacked detail and did not cover all aspects of the product.,Negative,review lack detail not cover aspect product
The tweet was unoriginal and did not add anything new to the conversation.,Negative,tweet unoriginal not add anything new conversation
The article was superficial and did not delve into the subject matter.,Negative,article superficial not delve subject matter
The photo was poorly composed and did not capture the intended subject.,Negative,photo poorly compose not capture intend subject
The social media post was overly self-promotional and lacked genuine value.,Negative,social medium post overly selfpromotional lack genuine value
The video tutorial was rushed and missed important steps.,Negative,video tutorial rush miss important step
The blog post was filled with jargon and not reader-friendly.,Negative,blog post fill jargon not readerfriendly
The comment was negative without offering any solutions or alternatives.,Negative,comment negative without offer solution alternative
The post was poorly timed and did not align with current events.,Negative,post poorly time not align current event
The article was repetitive and failed to provide new insights.,Negative,article repetitive fail provide new insight
The meme was irrelevant to the discussion and did not contribute.,Negative,meme irrelevant discussion not contribute
The social media update was too frequent and felt spammy.,Negative,social medium update frequent feel spammy
The video content was not well thought out and lacked direction.,Negative,video content not well think lack direction
The caption was ambiguous and did not provide enough information.,Negative,caption ambiguous not provide enough information
The comment was unnecessarily harsh and lacked constructive feedback.,Negative,comment unnecessarily harsh lack constructive feedback
The post was too brief and did not address the topic thoroughly.,Negative,post brief not address topic thoroughly
The review was biased and did not present a fair assessment.,Negative,review biased not present fair assessment
The tweet was poorly crafted and did not convey the message effectively.,Negative,tweet poorly craft not convey message effectively
The article lacked credible sources and was not well-researched.,Negative,article lack credible source not wellresearche
The photo was poorly lit and did not enhance the post's message.,Negative,photo poorly light not enhance post message
The social media update was irrelevant to the followers' interests.,Negative,social medium update irrelevant follower interest
The video was too long and lacked engaging content throughout.,Negative,video long lack engage content throughout
The blog post was inconsistent and lacked a clear message.,Negative,blog post inconsistent lack clear message
The comment was off-topic and did not contribute to the discussion.,Negative,comment offtopic not contribute discussion
The post had an unprofessional tone and did not respect the audience.,Negative,post unprofessional tone not respect audience
The article was overly technical and not accessible to the average reader.,Negative,article overly technical not accessible average reader
The meme was poorly designed and lacked humor.,Negative,meme poorly design lack humor
The social media update was overly negative and lacked a constructive angle.,Negative,social medium update overly negative lack constructive angle
The video was poorly lit and difficult to watch.,Negative,video poorly light difficult watch
The caption did not accurately reflect the content of the post.,Negative,caption not accurately reflect content post
The comment was made in bad taste and was offensive to others.,Negative,comment make bad taste offensive other
The post was overly dramatic and lacked factual information.,Negative,post overly dramatic lack factual information
The article was too opinionated and did not provide balanced views.,Negative,article opinionate not provide balanced view
The photo was blurry and did not add value to the post.,Negative,photo blurry not add value post
The social media update was too infrequent and did not engage the audience.,Negative,social medium update infrequent not engage audience
The video content was poorly scripted and lacked coherence.,Negative,video content poorly script lack coherence
The blog post had an unorganized layout and was hard to follow.,Negative,blog post unorganized layout hard follow
The comment was unhelpful and did not address the original post.,Negative,comment unhelpful not address original post
The post was poorly executed and did not meet expectations.,Negative,post poorly execute not meet expectation
The article was too short and did not cover the topic in depth.,Negative,article short not cover topic depth
The meme was repetitive and did not provide any new humor.,Negative,meme repetitive not provide new humor
The social media update was too promotional and lacked genuine content.,Negative,social medium update promotional lack genuine content
The video tutorial was lacking in detail and was hard to understand.,Negative,video tutorial lack detail hard understand
The blog post was too verbose and lost the reader’s interest.,Negative,blog post verbose lose reader interest
The comment was poorly worded and did not convey the intended message.,Negative,comment poorly word not convey intended message
The post was outdated and did not reflect current trends or information.,Negative,post outdate not reflect current trend information
The article was biased and failed to present multiple viewpoints.,Negative,article biased fail present multiple viewpoint
The photo was poorly taken and did not enhance the post.,Negative,photo poorly take not enhance post
The social media update was too frequent and felt spammy.,Negative,social medium update frequent feel spammy
The video content was disorganized and lacked a clear structure.,Negative,video content disorganize lack clear structure
The blog post was uninformative and did not provide useful information.,Negative,blog post uninformative not provide useful information
The comment was irrelevant and did not contribute to the discussion.,Negative,comment irrelevant not contribute discussion
The post was too opinionated and lacked factual accuracy.,Negative,post opinionate lack factual accuracy
The article was poorly written and had numerous errors.,Negative,article poorly write numerous error
The meme was poorly executed and did not convey its intended humor.,Negative,meme poorly execute not convey intend humor
The social media update was too infrequent and did not engage the audience.,Negative,social medium update infrequent not engage audience
The video was too lengthy and lacked engaging content.,Negative,video lengthy lack engage content
The blog post was scattered and did not have a clear focus.,Negative,blog post scatter not clear focus
The comment was negative without providing constructive feedback.,Negative,comment negative without provide constructive feedback
The post was poorly executed and failed to engage or inform the audience.,Negative,post poorly execute fail engage inform audience
The article was riddled with typos and grammatical mistakes.,Negative,article riddle typo grammatical mistake
The video lacked clear visuals and was difficult to follow.,Negative,video lack clear visual difficult follow
The blog post was overly promotional and lacked substance.,Negative,blog post overly promotional lack substance
The social media post was irrelevant to the audience's interests.,Negative,social medium post irrelevant audience interest
The review was biased and did not offer a fair assessment.,Negative,review biased not offer fair assessment
The meme was not funny and felt forced.,Negative,meme not funny feel force
The podcast episode was monotonous and unengaging.,Negative,podcast episode monotonous unengage
The content was poorly edited and hard to read.,Negative,content poorly edit hard read
The caption was misleading and did not align with the image.,Negative,caption misleading not align image
The comment was rude and did not contribute positively.,Negative,comment rude not contribute positively
The article was overly simplistic and did not cover the topic thoroughly.,Negative,article overly simplistic not cover topic thoroughly
The video had poor lighting and was hard to see.,Negative,video poor lighting hard see
The post was filled with irrelevant ads and self-promotion.,Negative,post fill irrelevant ad selfpromotion
The blog entry was too short and lacked depth.,Negative,blog entry short lack depth
The social media update was out of touch with current events.,Negative,social medium update touch current event
